text,language,None,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
Lawyers for undocumented immigrants who have been victims of violent crimes sued the Department of Homeland Security on Tuesday for failing to issue protective visas that Congress created five years ago.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legislature 2006: Parts of bill target 'human trafficking',en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"where the Hispanic population has jumped 46 percent since 2000, according to census figures.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AFRICAN COUPLE GET BIG PRESENT,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lawyers for the Obama administration asked a federal judge Wednesday to temporarily block Alabama's immigration law, widely seen as the toughest state measure on illegal immigration in the country.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Only companies with more than 50 employees where at least 15 percent of employees are H-1B workers are required to attest that they tried to find U.S. workers.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Prince William County, about 25 miles southwest of Washington, D.C., stepped up its immigration enforcement in 2007 amid explosive growth of its Hispanic and immigrant populations. Under Stewart's leadership, the county implemented a local policy requiring police to determine the immigration status of all people arrested on suspicion of violating state or local laws.",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"If the Tampa couple couldn't convince a judge otherwise, Nelly would be deported to Peru, and all they worked for would be lost.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The two unidentified men were walking along the beach in front of Ocean Village about 11:30 p.m. when they were approached by a condominium guard, police spokeswoman April Podnar said. Ocean Village is about 10 miles south of the spot where a 25-foot sailboat carrying the Haitians landed at 5:30.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
California immigration crackdown campaign to enlist American Legion members,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"While districts, large ones in particular, are charged with serving the needs of a wide range of students, charters have the flexibility to design programs to serve a specific population, and decide how dollars are spent, Haft said.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"More than 7,800 illegal immigrants were arrested this month along with 75 smugglers and vendors of illegal documents in what the Immigration and Naturalization Service yesterday called its largest international anti-smuggling operation ever.
",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cedillo later picked up a vote from Sen. Tom Hayden, a liberal Santa Monica Democrat, after he arrived late at the hearing. But frenetic attempts to persuade at least one senator to change his or her ""no"" vote failed, and the committee adjourned late Tuesday.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Son of deportee leads immigration marchers
",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"""The district court's decision wrongly prevents these lawful, common sense policies from taking effect,"" he added.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"With Democratic supermajorities in both houses of the State Legislature and a Democratic governor, the package is expected to pass.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"It is unclear just how many Queens residents chew paan. But as the number of Pakistan, Indian and Bangladeshi immigrants in the borough grows, the sight of a rotten, russet-stained mouths has become common. The number of Queens residents who identified themselves as Asian, most of them immigrants from South Asia and China, rose from 5 percent in 1980 to 18 percent in 2000.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
New Wave of Cubans Sails to Florida Illegally,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gore splits with boss over Elian
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""He has really taken care of us,"" said Materin, who now lives in Bala Cynwyd with his wife and four children. ""Everything he told me would happen, it happened. I'm very thankful.""",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Why President Obama went to Nevada to talk immigration reform
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"POLES RIP AID GROUP IT'S A HOAX, THEY SAY",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5 Myths about the border crisis,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HELP'S IN LINE FOR IMMIGRANTS,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Latino women who come to the United States typically find freedoms here that were far beyond their reach in their native lands. Often, women can find jobs as housekeepers or cooks that pay more than what their husbands can earn and do not require fluency in English.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" It has begun its largest-ever fund-raising effort to build the Gateway Center, a $35 million building that will consolidate the classes and services it offers to the foreign-born, who make up a large portion of its student body of 24,000.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The 5-4 ruling in the immigration case affects about 2,000 immigrants who have been convicted of felonies -- from drug trafficking to rape to multiple homicides -- and been kept in custody, although the chances are slim that they can be deported.
",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Many of the demonstrators were angry that the two suspects in that crime - Henry E. Sanchez Milian, 18, and Jose O. Montano, 17 - were undocumented immigrants who                           enrolled in the school after arriving in the United States illegally from Central America.
",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"And then there is President Barack Obama, who called SB 1070 ""misguided"" despite the fact that it mirrors federal law.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Federal District Judge Sidney Aronovitz ruled that impounding of the commercial fishing boats that ferried undocumented refugees across the Florida Straits had caused the boat owners ''irreparable harm'' by leaving them without a means to make a living.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The computerized system, if it is up and running on schedule, would embody the most comprehensive change since Sept. 11 to the way the nation manages its millions of foreign visitors.",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ILLEGAL ALIENS DESERVE DECENT TREATMENT,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Completing a stunning political comeback, Gov. Pete Wilson on Tuesday rode middle-class fears about crime and illegal immigration to a new, four-year lease on the governor's office.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Smuggled Aliens Now Cross Mohawk Land,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Friday is the deadline for Congress to fund the government through the end of next September.
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The U.S. Department of Labor said Sun Microsystems made a clerical error in failing to post notices about hiring foreign workers but didn't break any laws. The finding is being appealed.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Huge rally cry: Fix immig laws,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Why Refugees Wait,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Republicans are critical of the president, saying the measure is lacking. But allies of Obama's reform efforts are also upset, saying they fear the move could ruin his chance to find comprehensive solutions.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GROUPS' AID TO IMMIGRANTS TO BE REPAID,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigrant Refugees Improve U.S. Quality of Life; They'll Stay Forever,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"As a result, foreign-born, foreign-trained doctors are caught in a politically charged debate",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"In a ruling on Friday, Justice Sandra Day O'Connor temporarily lifted a lower court order preventing the deportations, saying the immigration rights groups that had won the lower court order appeared to lack legal standing.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chicago Woman's Stand Stirs Immigration Debate,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mitt Romney criticizes the timing but can't bring himself to say whether he approves of the decision.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prez to fight order halting immig rules,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The report looks at a period in which about 100,000 native-born workers were temporarily employed by the 2010 Census - meaning that the true effects of the recession were probably worse for native-born workers than the numbers suggest.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Now Tesfamical, 31, fears certain death if he is returned to the African nation he fled after he was forced into the military and tortured because of his ethnicity.",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The drug gangs get protection money from the migrants and then use them to clear the trail for the flow of drugs.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"He runs because he never knows when the immigration authorities or the Border Patrol or any cop in the land might grab him, as they did this summer in Texas, tossing him in a cell for eight hours.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The proposals have been criticized by an unusual array of interests, from traditional supporters of immigration to American industries, particularly high-tech companies, that need more professionals than the United States produces.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3 WITNESSES FOUND IN CONTEMPT FOR REFUSING TO TESTIFY ON ALIENS,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
States take sides on undocumented students; 3 more clarify stands on college tuition,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Coming to America, and becoming American",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Julia Louis-Dreyfus, picking up an award for TV comedy actress on HBO's ""Veep,"" started out with jokes about Russians hacking the SAG Award voting, but quickly got serious as she slammed the executive order.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mexican Foreign Minister Angel Gurria said, ""We are deeply concerned by the emergence of trends that could jeopardize our relations and lead us down the road to confrontation and complaint.""",en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A Haven for Abused Women,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Democrats plan fallback in case Ariz. law is upheld,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The USA will welcome to our shores 125,000 refugees next year, up from 75,000 in 1988. Next year, 50,000 Soviet Jews will be brought here, up from 6,500 two years ago.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
their citizens in the United States illegally or in limbo were given the temporary right to live and work here.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"For the first time, a representative of the registrar's office gave a get-out-and-vote speech at a local naturalization ceremony. But the efforts generated resentment from the League of Women Voters - a group that has been giving similar talks and signing up voters at such ceremonies for 25 years.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"So she makes choices. A drive to the grocery store or to pick up her kids from school is deemed essential. Nearly everything else is not.
",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Feel of Africa Is Transplanted to Staten Island,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Destin and Romulus, unemployed family men surviving on welfare, said they lived in a three-bedroom house in East Camden with 12 people - seven of them children.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Those given temporary legal status will be able to apply for permanent legal status after 18 months and can eventually apply for American citizenship.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Based on a detailed analysis of Labor Department statistics, the report is sure to inflame the already charged national debate over immigration. It also adds fuel to the fire over the larger question of whether immigration is a fundamentally good thing or bad thing for the American economy.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"They have drawn support from the church and infused new life into it, said the Rev. Loren McLean, associate pastor. The Karen (pronounced cur-REN) have helped the church stay downtown when it looked like its dwindling membership would force it to move, McLean said.
",en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Opponents of the bill argue that higher income thresholds mean immigrants are less likely to wind up on welfare.,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"But many are now discovering that the president's Nov. 20 action, while stopping deportations that take illegal immigrant parents away from their children, does not allow families divided between the United States and their homelands to be reunited except for brief emergency trips.
",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Better Senate Bill on Immigration,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Moments after senators shot down an immigration reform bill Thursday night, a rescue mission for the bipartisan compromise was dispatched, even as recriminations flew over its stunning collapse.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
President Bush's top immigration advisers,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Undocumented immigrants with old crimes and deportation orders may still be able to remain in the United States. ,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Haider received several thousand dollars from undercover New York City cops for the phony documents, the indictment says. Haider was arrested late Sunday in Towson when the car in which he was riding was pulled over on the Baltimore Beltway in a routine traffic stop, the FBI said.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Romney was in Lakeland to speak at the Polk County Republican Party Lincoln Day dinner. Earlier in the day, he held a town hall meeting in Jacksonville and met privately with supporters in Lakeland.
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Latino Who Will Chair Board Is Described as a 'Unique and Needed Voice',en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American composer says he was detained at JFK because of his 'super common' Muslim name,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GIVE FOLEY CREDIT FOR IMMIGRATION BILL,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""I was not prepared for the way this group touched me. They were very gentle, loving and communal.""",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Without the chance to go to college, David Mendez fears he will never become an officer in the military. Leticia Mendoza worries that she won't become an engineer.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"President Trump's Immigration Order, Annotated",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Efforts to let immigrants without Social Security cards drive legally swung into the fast lane yesterday with introduction of a bill that would allow a substitute ID.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Boehner (Ohio) and other House GOP leaders have said that they think immigration reform should be passed this year, but several other prominent conservatives have said that doing so before the fall midterm elections would hurt Republicans' chances of winning control of the Senate.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
or thousands of dreamers could begin facing deportation on a daily basis.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"""My father was an orthopedic surgeon, and when he was doing surgery, the Taliban would come into the operating room with their dirty clothes. They thought my daddy was their enemy and he would kill their friends. But my daddy was a doctor, and for a doctor, it doesn't matter where you are from.""
",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"They are the husbands, wives, sons and daughters of legal immigrants and U.S. citizens. They are our friends, neighbors and co-workers.

They attend our churches. They shop in our stores and sit next to us at Little League games.

The idea that illegal immigrants can be excised from our midst without hurting the remaining immigrant community or the community at large is simply false.

""They"" are us.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
THE ROCKY ROAD TO CITIZENSHIP,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" The fingerprint technology was provided through a program of U.S. Immigration and Customs Enforcement (ICE) known as ""Secure Communities.""",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Candidate rips City Council decisions,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""That is a huge, huge, huge encroachment on judicial independence,"" said Dana Leigh Marks, spokeswoman and former president of the association and a judge for more than 30 years. ""It's trying to turn immigration judges into assembly-line workers.""
",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trump has fired the acting attorney general who ordered Justice Dept. not to defend president's travel ban,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"One immigrant, a well-muscled stocky man weighing about 200 pounds, told Estrada that the bosses wouldn't dare strike him but often went after a slight and frail friend, the doctor said.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The decision could lead to their deportation when handed over to immigration authorities.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Many are recruiting foreign workers, hoping to draw them to sparsely populated towns such as Branson that swell during tourist season.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On the other side, local jailers have praised the program, saying it is helping curb illegal immigration in Georgia and preventing criminals from deceiving them with aliases.",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arizona's Border Burden,en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"U.S. Citizenship and Immigration Services has lost track of 111,000 files in 14 of the agency's busiest district offices and processed as many as 30,000 citizenship applications last year without the necessary files, congressional investigators have reported.",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"At the White House, President Trump has on several occasions used the bully pulpit to highlight some of the most sensational crimes by immigrants, and he met in the Oval Office with family members of their victims.
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"If protestors tread the sidewalks of Midtown today in support of immigrant rights, they won't be marching with the blessing of leaders of Atlanta's Hispanic immigrant community.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gov. Blunt's immigration moves upset Hispanics here,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
But the issue of undocumented immigrants being victimized by crime and then being too afraid to report it to police is of deep concern to him and other law officers.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GOP watching Calif. 'Minuteman' election
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""It is a rejection of President Trump's false and cynical portrayal of undocumented immigrants as a lawless community,"" said Senate leader Kevin de León, who is carrying Senate Bill 54, in a celebratory news conference after the vote.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The protesters --- many legal residents and most toting Bibles and young children --- came from across Georgia to send what they hope will be a powerful, spirit-filled message that a change must come at the federal level and not through states and local governments, whose politicians they say are using the immigration issue for political gain.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
America Can't Afford More Huddled Masses; Enforce Current Laws,en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"While Kennett Square police say they support the concept, Philadelphia police and others say they fear that it will overburden their departments and make immigrants less likely to report crimes. The harshest criticism comes from immigrant groups in places such as Kennett Square, a small Chester County town where one in four residents is Hispanic.",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The law was challenged by the federal government and advocacy groups and was partly blocked by federal courts in July 2010.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
March takes on festive air Police described the immigration-rights group as `` fantastic.'',en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"As legal immigration rises, so does debate on the issue",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"In April, Rep. Nathan Deal, a Republican who is also a candidate for governor of Georgia, proposed H.R. 1868, the Birthright Citizenship Act of 2009. It seeks to amend immigration law so that babies born in the United States would be granted citizenship only if one of the parents is a U.S. citizen or national, is a legal permanent resident or is serving in the U.S. armed forces. The legislation currently has 77 co-sponsors, 76 Republicans and one Democrat.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Streamlined procedures and increased staffing will reduce that period to a day, Nelson said.",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mr. Dole and Speaker Newt Gingrich of Georgia strongly support the provision, but Democrats do not, and Senate Democrats have vowed to filibuster any bill that contains it. President Clinton has indicated that he wants to sign the immigration bill, but not if it includes the education provision.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"It is not in dispute that Rosamaria is an undocumented immigrant, as are her parents; seeking better medical care, they traveled over the southern border together when she was three months old, and settled in Laredo, Tex.
",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"As a result, immigration creates new job opportunities for the native-born, with some particularly high-profile examples found in Silicon Valley.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMUGGLED TO NEW YORK; Immigrant Dream of Plenty Turns to Misery and Regret,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Speaking in tentative tones, in the languages of South Asia, the callers may be from India, Pakistan, Nepal, Bhutan, Sri Lanka or Bangladesh. But their common bond is that they need help when they dial the hotline to Raksha (404-842-0725), which means ""protection"" in most of their native tongues.",en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"When coming from abroad, those workers require so-called H-1B visas. To qualify, a foreign national must have a job offer in an occupation requiring specialized knowledge and training and expert skills.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Federal agents targeting illegal immigrants raided meatpacking plants in six states yesterday, arresting hundreds of workers on the uncommon charge of identity theft and shutting down the world's second-largest meat processing company for much of the day.
",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration case nets 1-year term,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BEST THING THAT HAPPENED TO REPUBLICANS,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Misrepresenting Jordan's views,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 but Ms. Trump said that the temporary plan was necessary for national security reasons.,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"At one point, before dozens of the migrants were offloaded by human traffickers, more than 100 people - possibly many more - were crammed into the trailer's lightless, nearly airless interior, baking in the South Texas summer heat and taking turns to suck air through a hole in the vehicle's side",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"They represent illegal immigrants who risk, and sometimes lose, their lives, sprinting through the stream of speeding vehicles to evade a government checkpoint.",en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The Internal Revenue Service allowed undocumented workers to collect $4.2 billion in refundable tax credits last year, according to a new audit - almost quadruple the sum five years ago.",en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technology Briefing Internet: F.T.C. Inquiry On Fake Driving Permits,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
U.S. Rules Are Set Barring Aliens Who Test Positive for AIDS Virus,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lucia Guzman was returning from Texas when she got an earful. The travelers at the airport snack bar were comparing Mexican immigrants to moles and rabbits, and talking about building a rabbit-proof fence along the border. They were ridiculing people - people like her.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Better barriers are worth the cost,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"That was too much for a federal appeals court, which overturned Castrejon's deportation order Friday. The court compared immigration officials to the fictional policeman whose obsessive chase of a petty thief was chronicled in Victor Hugo's ""Les Miserables.""",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"An Orange County Republican's congressional campaign went into meltdown Thursday after he said a staff member was responsible for sending thousands of letters to new voters with Latino surnames telling them -- wrongly -- that it is illegal for them to vote if they are immigrants.
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Senate committee voted Monday to significantly increase the number of visas for highly skilled foreign workers as part of a controversial immigration bill that faces an uncertain future in Congress.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"beyond learning that the 21-year-old day laborer was born into poverty in rural Mexico, grew up in a brickyard and lusted after the streets of New York.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GOP hopeful urged to exit race over letters targeting Latinos,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FEDS ARE MISUING IMMIGRATION LAWS,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ruben Navarrette: The wrong debate on immigration,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
How We Respond to Illegal Immigration,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AFTER TWO MARIELS,; NO MAS",en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"""It's been rough, but I finally came out of my addiction. Now I want to give something back to the community,"" said Smith. ""My children see me as a strong man and a good provider. My employees say I have inspired them. For the first time, I see a real future.""",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Leaders of the nation's major Hispanic organizations, issuing their first progress report on their priority issues, gave C grades on Wednesday to President Obama and to Congress for their performance over the last two years.",en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"INS officials say that there are some provisions that allow minors to petition for green cards without their parents. But the process is long and uncertain, and each case is evaluated individually, said INS spokesperson Mark Thorn.",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This counters arguments that amnesty is the way to solve illegal immigration.,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MINNEAPOLIS: Judge bars Somali man's deportation,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bush Goes Slow on Immigrant Amnesty; Resistance in Congress Forces Gradual Steps
",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"But many immigrants and their advocates, as well as City Council members, protested the new policy, saying it offered too few protections and was a step backward. The mayor later agreed to amend the policy but has not yet done so.",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Why Obama's executive action on immigration excluded parents of 'dreamers',en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Afaf N. Khalifa, imprisoned for helping to abduct one of her grandsons from Anne Arundel County and taking him to Egypt, has been granted parole and later this month will be turned over to immigration authorities for deportation.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GUATEMALAN FAMILY REACHES REFUGE,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"""Foreign nationals with fraudulent travel documents, or even no travel documents, arrive each day at U.S. airports in numbers that exceed the detention capacity of the INS.""",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed said they belonged to him and described them as sugar rockets. The FBI called them low-grade explosives and charged the men with illegal transportation of explosive materials and possession of a destructive device.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Her mother, Marie Baggette, sat in her red Chevy Metro waiting for her daughter to get to the front of the line. The ordeal was beginning to wear down Baggette, who recently underwent knee replacement surgery.",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Should Immigrants Have Human Rights?,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
U.S. GRANTS ASYLUM TO GAY MEXICAN HE CITES PERSECUTION BY THE POLICE,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
One of the niceties of smuggling operations that illegally transport Cubans from the communist island to Florida is that they guarantee delivery.,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
We're just enforcing the law,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The House has backed a harder line supported by Rep. Tom Tancredo, R-Colo., opposing citizenship for illegal workers and focusing on border control.",en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NATION'S SECURITY NEEDS, VALUES DEMAND IMMIGRATION REFORM",en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
What are ICE raids accomplishing?,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"USCIS has responded to the new backlog with a plan to hire 1,800 more staffers. ",en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICANS OPPOSE U.S. ENTRY CURBS,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A Set of Borders to Cross; For Children Seeking Immigrant Relatives in U.S., Journey Is Twofold",en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"When the FBI wanted to interview Habib Zacarias Moussaoui last weekend in its ongoing terrorism probe, agents didn't have far to look.
",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A new children's march,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
States are joining the legal battle over Trump's immigration order,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Norton emphasized that she didn't think such immigrants were terrorists. But she said she is worried that the easy availability of phony IDs could be exploited.,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Why immigration opponents don't get it,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Both have been blocked by the Texas appellate court decision earlier this year.
",en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
